Epoch,Train Loss,Dev Loss,PPL
1,7.103929898350849,6.4142325348060805,610.4720649255154
2,6.317710426506158,6.172361963258275,479.31689902242965
3,6.1037961068835855,6.04215892038997,420.8005297734241
4,5.9655245674631185,5.895607508168774,363.4375601328437
5,5.8554013878033295,5.804056750781361,331.6422244938182
6,5.7639941186756225,5.744689409006961,312.5265448243732
7,5.690852345485989,5.672877228654638,290.87023173456913
8,5.623458667565239,5.622558135921295,276.5960492648452
9,5.569708107910448,5.564940143752664,261.10957420275594
10,5.516278100896116,5.538720987533741,254.35247134400035
11,5.4710951421057965,5.509177162505328,246.9478454987399
12,5.42901754195634,5.477975220645688,239.36156203484487
13,5.390175251669549,5.438108995418383,230.00682799524228
14,5.354650223250631,5.411274961375906,223.9168911540784
15,5.320499882033796,5.4143774861486005,224.61267764520443
16,5.290840542731302,5.364466277170052,213.67715986302346
17,5.260277753011024,5.3458797081439124,209.7423154873566
18,5.232688671573707,5.331143672751812,206.6742067029042
19,5.207212340096357,5.323891666074727,205.18082552598324
20,5.180820791917509,5.301041185715301,200.54550642661513
21,5.1584995238986675,5.320167604151868,204.41814045101458
22,5.135760387112516,5.272493041003694,194.9012540861705
23,5.111847133930231,5.256789793916039,191.86457678399222
24,5.092022393463631,5.2598718967538005,192.45683537266285
25,5.072531749688709,5.240572557802955,188.7781578760321
26,5.05243586059658,5.219602643530687,184.8607138741414
27,5.033466166664228,5.213237353938769,183.68775895540514
28,5.01472840034991,5.202029013576147,181.64041910688297
29,4.997918095317079,5.200831111707984,181.42296198165295
30,4.980061519508635,5.190574611095326,179.57170718756083
31,4.964392482134281,5.187156212263816,178.95890746719925
32,4.9475707366716755,5.187601637972368,179.03863812108278
33,4.931876629492164,5.165698113856727,175.1596973103869
34,4.917766847288016,5.168292060306862,175.61464198139566
35,4.902888117329212,5.153477139641639,173.03210228800756
36,4.887963847147274,5.139893805938343,170.69764028305804
37,4.873840824912323,5.1474343556879525,171.98965947725895
38,4.860159124263719,5.134526582921935,169.7839222370094
39,4.847070873479759,5.1333611730181845,169.58616962634426
40,4.834058512823054,5.127445110500426,168.58584914153332
41,4.820363536173516,5.124107317268078,168.0240824872145
42,4.809108516324321,5.116055719695624,166.67665195602976
43,4.796202482726293,5.111754405144552,165.96126290727884
44,4.784762400007237,5.111373436168135,165.89804885688477
45,4.772859090802503,5.102523662807217,164.4363660440125
46,4.759644915395428,5.101423098096321,164.25549273200545
47,4.748684550125587,5.103753695926268,164.6387526658296
48,4.738147742684962,5.090794757334138,162.51897388683813
49,4.727055588272685,5.085901567383506,161.72568012839048
50,4.717206774605196,5.091083133923497,162.56584731250823
51,4.7060803883803075,5.087793981522588,162.03202186341005
52,4.6951581976084675,5.099017333117275,163.86080757020494
