Epoch,Train Loss,Dev Loss,PPL
1,6.910634583471111,6.37555022686106,587.3084949639648
2,6.202931659241671,6.018495447240375,410.9598196220364
3,5.98389213725956,5.841161020297627,344.1787072488774
4,5.840645056088045,5.762992512697116,318.29942018813483
5,5.734593677650986,5.6423054255753655,282.11235838546116
6,5.647093420726889,5.61381543898281,274.18839386816495
7,5.575280350988623,5.5257946796419946,251.08579152644793
8,5.513325325215363,5.466003693706492,236.51312274972986
9,5.459023463801275,5.437549168028129,229.87809990910137
10,5.411463474741423,5.390180767420798,219.24301396624634
11,5.371084224255261,5.35582280419804,211.83820602983627
12,5.332535886768663,5.3280205595610175,206.02974664643483
13,5.298386679717768,5.326865554855093,205.79191869214026
14,5.2642231946938605,5.275935996102074,195.57344685335374
15,5.235172080043439,5.252721694532249,191.0856380916624
16,5.206989573351066,5.237961796553132,188.2859459800881
17,5.181023896809338,5.234554885060023,187.64556390866898
18,5.156596821547985,5.20079379173178,181.41619140736847
19,5.134689809357514,5.182799320082753,178.18089888299508
20,5.111688792387271,5.179892940225884,177.66378933000092
21,5.091163571525792,5.156678472172894,173.58692319528183
22,5.071363818207187,5.149090557962778,172.27474515714152
23,5.053138935398092,5.132918744006606,169.51115638018084
24,5.036459102547403,5.123676986033172,167.95179203183991
25,5.018139006050911,5.110193902942535,165.70248195769787
26,5.002183369756337,5.104260165462068,164.72215829789
27,4.986965310940384,5.09052552630878,162.4752246264518
28,4.972698373719263,5.09015318670976,162.41473992758665
29,4.95833511825905,5.078005492834564,160.45371049387012
30,4.944983578225138,5.078023306533243,160.45656879337912
31,4.931381807374755,5.06601648516302,158.5415152935622
32,4.918621998842694,5.051187579911919,156.20786369742675
33,4.905085763935132,5.045645355341668,155.34451927141262
34,4.8936668292334415,5.037680467751101,154.112132065542
35,4.8821345627967325,5.035059218061869,153.7086946733277
36,4.869831258987291,5.034299832850902,153.59201487186058
37,4.860259945879017,5.021481711269357,151.63581792067205
38,4.848808789798536,5.015433544359994,150.72146704507395
39,4.837868101342938,5.012895730483733,150.33944896498113
40,4.82801267118856,5.006044948234835,149.31302605108286
41,4.817635916889477,5.001021818173746,148.564887872176
42,4.808005328665284,4.9918379685946155,147.20673636467097
43,4.799008367727616,4.9914905182287965,147.15559821476896
44,4.790273069039631,4.9871729160747265,146.52160852943516
45,4.780634649023231,4.982527786040276,145.84257492562452
46,4.772754130412211,4.975216011906876,144.7800959952353
47,4.762586405262098,4.969776451955179,143.9946940403582
48,4.754699798837021,4.973059888434082,144.46826852193766
49,4.746782752679201,4.964027288810556,143.16922021788778
50,4.738364449369879,4.959777889259838,142.56212780048227
51,4.730068931295418,4.9561908429819574,142.05166692132445
52,4.7234360686249195,4.950763353059739,141.28277140449583
53,4.714812881121822,4.954751179810698,141.84730750769933
54,4.70733320516282,4.9477163226754515,140.8529337040819
55,4.7003389432092995,4.941361049820642,139.96061335101282
56,4.694076945273207,4.938134883550576,139.50980472388235
57,4.685144170006338,4.933495025483023,138.86399841433067
58,4.678461137074891,4.93255375741405,138.73335166314683
59,4.672445318600861,4.931849783349907,138.63572135038035
60,4.664557334315556,4.925945485642492,137.81958650112526
61,4.659167255733381,4.926573432394516,137.90615704083385
62,4.65147884062043,4.921854744548232,137.25695383192024
63,4.646729223403302,4.9221926498792445,137.3033415252217
64,4.638913465165325,4.918321278102359,136.77281683572767
65,4.632823624408388,4.9144626977820005,136.24608480876893
66,4.627594578586235,4.9140721560235825,136.19288541219927
67,4.620730910804914,4.910838941966189,135.75325575194498
68,4.615305494970865,4.91124152600689,135.80791884869083
69,4.60927856012115,4.9093871255238675,135.55630994232104
70,4.603926680484308,4.904199565589928,134.85492427307173
71,4.597904205041812,4.903444342458091,134.75311716319962
72,4.593877962636008,4.904533919280082,134.9000210533552
73,4.5873632380328235,4.900216594597954,134.31886927598615
74,4.580821089410757,4.895572380220912,133.69650995586213
75,4.5757131765409484,4.90856186847386,135.4444872894308
76,4.570656642028872,4.89742001038855,133.94376000395113
77,4.564615080774032,4.896192807483307,133.77948465274616
