Epoch,Train Loss,Dev Loss,PPL
1,6.918380952550066,6.404701484585878,604.6812650555992
2,6.202634421052095,6.014068937349055,409.14472215274435
3,5.98822127970204,5.824829077283705,338.6032531437967
4,5.840463371716212,5.7154056861770135,303.5073070560701
5,5.72914743780853,5.643652551853957,282.4926554535326
6,5.641092681917646,5.56493820144907,261.109067049184
7,5.571522841661115,5.532478978725671,252.7697458098111
8,5.507600190828961,5.460107747904532,235.1227569848186
9,5.453791331947011,5.434252357401619,229.121483242755
10,5.406586998326761,5.382800679695269,217.63093724069353
11,5.363987437063075,5.357877150962494,212.27384248394034
12,5.3260289987528076,5.330113585914193,206.46142393408385
13,5.291247540622438,5.299380016692712,200.2126429914778
14,5.259090533994292,5.276704870853459,195.7238761619185
15,5.230363692553212,5.250487407213383,190.65917447219547
16,5.200899349755872,5.2486992392829235,190.3185484897494
17,5.17520914793551,5.2139217939781926,183.81352524721933
18,5.151018965833288,5.19678054855093,180.68958311742605
19,5.128369109132679,5.183908819390183,178.37870017681126
20,5.106110562963047,5.165058374547166,175.04767660241237
21,5.086443730916033,5.154380061088223,173.18840723903796
22,5.067881588749844,5.141559775225529,170.9822543224611
23,5.04876716254801,5.1300578695482315,169.02689927216673
24,5.031513516339955,5.12228793374414,167.71866016433313
25,5.014899815802373,5.109111540391035,165.52322882247648
26,4.998236779024146,5.101542854986504,164.2751646369101
27,4.982840298688937,5.088913802786262,162.2135703988722
28,4.967535511922857,5.0812654829343655,160.97764154256444
29,4.9539775374399575,5.072622120951129,159.59224936349588
30,4.939245103254355,5.065710794324478,158.49305801165934
31,4.926515954010383,5.058302071494531,157.32316592866798
32,4.91371601582929,5.050772759358574,156.14307890293202
33,4.900923735990223,5.055122243038784,156.82369977809358
34,4.88956166662641,5.039561061585452,154.40222708085514
35,4.877247828082351,5.033522495205285,153.47266840889347
36,4.8663271808493285,5.0230545332256,151.87450171880565
37,4.854423399365086,5.025153719455888,152.19364943960025
38,4.844674792665269,5.01415953193813,150.52956829047153
39,4.8337872410684595,5.007292600822205,149.4994330957987
40,4.823245782294306,5.008283702851967,149.6476757370449
41,4.814537643879513,5.007057276868163,149.46425643719306
42,4.80403820223698,4.991689715335985,147.1849141039632
43,4.793772552618311,4.9863870045461,146.40650074629065
44,4.784571149953879,4.9824090557962775,145.82526002903955
45,4.77644584574142,4.985490686931738,146.27533281366036
46,4.767171894405781,4.972592570189303,144.40077163675699
47,4.7582561107620975,4.968866621457238,143.86374285690223
48,4.749231243094432,4.965972616848984,143.44800238968898
49,4.741050742741441,4.96054462747727,142.67147754818347
50,4.733437311820429,4.9559338207220485,142.0151611724645
51,4.7254066598803135,4.9552600356052,141.9195056997354
52,4.71651946451494,4.9500242787949285,141.17839152108377
53,4.70932688286735,4.94528167286724,140.5104232517432
54,4.702790111559238,4.9466241653643985,140.69918411740412
55,4.69526773220792,4.940245695855235,139.80459475006762
56,4.686886564760775,4.937612875586021,139.43699849905093
57,4.679763679437794,4.938077779824904,139.50183842171984
58,4.672999894996647,4.932299398884785,138.69806813938064
59,4.666639355296174,4.930706682190297,138.47733723831885
60,4.659811302179453,4.9287586626740305,138.2078432578073
61,4.652506068633419,4.927251268601719,137.99966651574587
62,4.6461122613455315,4.922546620835701,137.35195152310217
63,4.6407511494796925,4.922770346462566,137.38268411226355
64,4.634613514171649,4.920997994432803,137.139409281225
65,4.6271660139665896,4.9155582125035515,136.3954261883345
66,4.62082611013542,4.9121492199708765,135.93124684046066
67,4.615529399078306,4.913079278173391,136.0577296206188
68,4.6094742344475845,4.9086749660374345,135.45980659721477
69,4.6024692425208755,4.909490678052635,135.5703478678248
70,4.598652655991615,4.90480842227234,134.93705659574104
71,4.591134427295375,4.902042415470947,134.56433549162614
72,4.586000066250852,4.902078847536937,134.56923803768103
73,4.580907904988856,4.902742588169485,134.6585867577654
74,4.57492507783658,4.903896122274116,134.81400965564424
