Epoch,Train Loss,Dev Loss,PPL train,PPL dev
1,7.171788136192912,6.940303687491121,1302.1709813043906,1033.0839019848866
2,6.62561906237985,6.4868820144906945,754.1709469320297,656.4732946141405
3,6.400486476550937,6.263254501704788,602.1378925980077,524.9245309592892
4,6.2531391538109915,6.213338242736895,519.6415015972824,499.36547512013067
5,6.133263317175811,6.080476019764881,460.93789558022246,437.2372787750402
6,6.016561287844861,5.956304107028697,410.16572602508825,386.1802027500774
7,5.9063905860372,5.849465367062082,367.37774110462243,347.048787158325
8,5.814815794662131,5.7704787056932805,335.2296417238999,320.6912126178228
9,5.732824052350236,5.689769054553204,308.840218939725,295.82529324631497
10,5.657465365360462,5.629471404851541,286.42174725609254,278.5148571136269
11,5.592273911379009,5.600809885104418,268.34511949750015,270.645510457533
12,5.5336647582914225,5.556333907515272,253.06965278587344,258.8720456834594
13,5.478942756787171,5.483431428913908,239.59326506945004,240.67113797940092
14,5.427712831249393,5.455337949726523,227.62802588513088,234.00393927546185
15,5.384275327204749,5.453914463169484,217.9521029051547,233.6710747838809
16,5.340409242040404,5.410773014632761,208.59805991924236,223.80452500309943
17,5.301497039990208,5.341051696352465,200.6369467931907,208.7321177007139
18,5.262365446808156,5.331694010601648,192.9373349508716,206.78797864506924
19,5.228705534987827,5.306256492843444,186.55116320269565,201.59414494490562
20,5.199311127069337,5.267758731487072,181.14741133576905,193.98071200910138
21,5.162788547388059,5.249953745427263,174.65079922384456,190.55745410115804
22,5.137077026350231,5.22060728619122,170.2174991974376,185.0465261553999
23,5.106202200548251,5.226073400207771,165.04236533478806,186.06078105684017
24,5.08104038628475,5.197271535152366,160.94141009273213,180.7783210645445
25,5.051247192101718,5.189874327408012,156.21717586780218,179.44600007077312
26,5.027423823956518,5.159301747407302,152.5395373805052,174.0428872700706
27,5.002454852821356,5.182356280632902,148.77793912236675,178.10197520002347
28,4.97802708575792,5.138988581474641,145.18765610964638,170.54319051957648
29,4.955254841991129,5.11951296459902,141.91876862650778,167.25389121530705
30,4.931763642719041,5.096166836109533,138.6237796962208,163.3943879082831
31,4.909976566119295,5.092307506614931,135.63623588785174,162.76501039655784
32,4.888677107757004,5.080270496297414,132.77780708550284,160.81755059776455
33,4.867895128952287,5.0685577674385565,130.04689666137185,158.94492640996805
34,4.846869907712085,5.0640406907053555,127.34117575133693,158.22857909693926
35,4.827925188289022,5.035655116804588,124.95144080776416,153.80031678726854
36,4.8059340975310665,5.034937102660179,122.23361582979284,153.68992562035294
37,4.787516624035727,5.025232826706564,120.00298578758665,152.2056895370009
38,4.769757603115225,5.013951483475991,117.89066216773065,150.49825410282952
39,4.751672779531596,5.005994781307714,115.77779335620018,149.3055356632732
40,4.732948768722372,4.993570336917531,113.63013780969018,147.46197367034782
41,4.713525025158141,4.973993054322347,111.44431233074744,144.60314430301057
42,4.698388614664384,4.982017209919733,109.77014785646504,145.7681301959769
43,4.680081038753605,4.98569149337619,107.77880647764528,146.30470879249793
44,4.662972021005069,4.954294322258133,105.95050181119444,141.78251829480095
45,4.646257245489753,4.9583247964465835,104.19428126189928,142.3551222327085
46,4.630541101989641,4.948587917539778,102.56954968487335,140.9757539146808
47,4.61572265872842,4.938806032683975,101.0608346443089,139.60346803593305
48,4.5993579486910665,4.926821381321921,99.4204621076737,137.94035496404865
49,4.582453514033256,4.934271280988066,97.75394088708882,138.9718342062007
50,4.568959599732943,4.930602768948004,96.44371748838962,138.46294835683298
51,4.55209581753486,4.927978106353885,94.8309485550216,138.10000634412617
